schoolindex,h09,m09,l09,h10,m10,l10,h11,m11,l11,h12,m12,l12,h13,m13,l13,h14,m14,l14,h15,m15,l15,h16,m16,l16,h17,m17,l17
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,17.5,5,62.5,22.5,15,53.5,37.2,9.3,64.4,26.7,8.9
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,28.2,5.1,48.8,31.7,19.5,32.6,37.2,30.2,27.5,42.5,30
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,35.8,20.3,51.6,31,17.5,35.6,46.2,18.2,45.3,29.7,25
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,41.3,34.9,24.2,50,25.8,28.8,45.5,25.8,54.5,30.3,15.2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,29.9,66.1,4.8,39.7,55.6,5.5,31.5,63.0,9.8,59.8,30.3
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.4,14.8,14.8,61.4,27.7,10.8,55,25,20.0,45.7,25.9,28.4
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.3,24.6,22.1,37.8,43.3,18.9,38.4,39.2,22.4,35.9,40.5,23.7
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,42.9,23.8,53.7,39,7.3,59.1,29.5,11.4,47.6,42.9,9.5
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20.3,64.7,3.9,30.7,65.4,3.9,28.6,67.5,4.6,27.8,67.5
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,58,20,27.3,36.4,36.4,52.8,37.7,9.4,37,29.6,33.3
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,37.6,37.6,19,27.8,53.2,19.5,44.5,35.9,14.3,34.1,51.6
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1,39.2,17.6,41.2,41.2,17.6,58.2,30.9,10.9,50.9,40,9.1
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,36,57.6,9.4,37,53.5,12.4,32.6,55.0,9.8,29.5,60.6
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6,14.1,11.3,81.7,11.3,7,80,17.1,2.9,88.7,8.5,2.8
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1,21,21,60.9,32.8,6.3,37.1,48.4,14.5,63.5,27,9.5
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,28.2,54.4,16,36,48,11.7,33.0,55.3,12.4,39,48.6
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8,28.3,18.9,38,24,38,45.3,37.7,17,23.6,18.2,58.2
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,38.3,18.8,35.2,44.8,20,28.2,38.2,33.6,28.3,35.4,36.2
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,35.7,16.7,45.8,38.6,15.7,50,30.5,19.5,42.5,33.8,23.8
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,17.5,12.5,45.5,45.5,9.1,43.2,36.4,20.5,22.5,50,27.5
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,44.4,44.4,5.8,36.5,57.7,20.8,32.1,47.2,3.6,58.2,38.2
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,36.8,31.1,39.4,42.3,18.3,47.2,32.1,20.8,39.8,33.3,26.9
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,33.3,33.3,39.2,44.6,16.2,25,43.1,31.9,14.9,37.8,47.3
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,28,18,30.8,51.9,17.3,34.6,38.5,26.9,27.3,38.2,34.5
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,41,42.9,12.1,40.2,47.7,9.1,49.1,41.8,16.4,55.5,28.2
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,31.7,33.2,32,36.3,31.7,30.9,35.8,34.3,35,38,27
