schoolindex,year,가,가특,나,나특,가/나 특,총
1,2016,18,1,19,1,0,39
1,2017,0,0,40,2,0,42
1,2018,0,0,38,2,0,40
2,2016,38,2,0,0,0,40
2,2017,38,2,0,0,0,40
2,2018,38,2,0,0,0,40
3,2016,57,3,56,4,0,120
3,2017,57,3,56,4,0,120
3,2018,57,3,56,4,0,120
4,2016,56,4,0,0,0,60
4,2017,55,5,0,0,0,60
4,2018,57,3,0,0,0,60
5,2016,0,0,113,7,0,120
5,2017,0,0,114,6,0,120
5,2018,0,0,114,6,0,120
6,2016,38,2,38,2,0,80
6,2017,38,2,38,2,0,80
6,2018,38,2,38,2,0,80
7,2016,66,4,46,4,0,120
7,2017,66,4,46,4,0,120
7,2018,66,4,46,4,0,120
8,2016,19,3,18,0,0,40
8,2017,19,2,18,1,0,40
8,2018,19,2,18,1,0,40
9,2016,141,9,,,0,150
9,2017,141,9,,,0,150
9,2018,141,9,,,0,150
10,2016,45,5,,,0,50
10,2017,45,5,,,0,50
10,2018,25,5,20,,0,50
11,2016,,,114,6,0,120
11,2017,,,114,6,0,120
11,2018,,,114,6,0,120
12,2016,24,2,23,1,0,50
12,2017,24,2,23,1,0,50
12,2018,25,5,20,,0,50
13,2016,,,114,6,0,120
13,2017,,,114,6,0,120
13,2018,,,114,6,0,120
14,2016,33,2,33,2,0,70
14,2017,33,2,33,2,0,70
14,2018,33,2,33,2,0,70
15,2016,30,,25,5,0,60
15,2017,30,,25,5,0,60
15,2018,30,,25,5,0,60
16,2016,,,94,6,0,100
16,2017,,,94,6,0,100
16,2018,,,94,6,0,100
17,2016,22,3,25,,,50
17,2017,22,3,25,,,50
17,2018,22,3,25,,,50
18,2016,58,12,50,,,120
18,2017,58,12,50,,,120
18,2018,51,9,60,,,120
19,2016,37,,37,6,,80
19,2017,37,,37,6,,80
19,2018,37,,37,6,,80
20,2016,18,2,18,2,,40
20,2017,18,2,18,2,,40
20,2018,19,1,19,1,,40
21,2016,46,4,,,,50
21,2017,46,4,,,,50
21,2018,46,4,,,,50
22,2016,50,,45,5,,100
22,2017,50,,45,5,,100
22,2018,50,,45,5,,100
23,2016,40,,26,4,,70
23,2017,40,,26,4,,70
23,2018,40,,26,4,,70
24,2016,26,4,20,,,50
24,2017,27,3,20,,,50
24,2018,17,3,30,,,50
25,2016,95,5,,,,100
25,2017,95,5,,,,100
25,2018,95,5,,,,100
1,2019,,,37,3,,40
2,2019,37,3,,,,40
3,2019,55,,56,,9,120
4,2019,56,4,,,,60
5,2019,,,111,9,,120
6,2019,38,2,38,2,,80
7,2019,65,5,46,4,,120
8,2019,19,2,18,1,,40
9,2019,139,11,,,,150
10,2019,25,5,20,,,50
11,2019,,,114,6,,120
12,2019,24,2,22,2,,50
13,2019,,,111,9,,120
14,2019,32,3,33,2,,70
15,2019,30,,25,5,,60
16,2019,,,93,7,,100
17,2019,22,3,25,,,50
18,2019,51,9,60,,,120
19,2019,37,37,6,,,80
20,2019,18,2,19,1,,40
21,2019,46,4,,,,50
22,2019,50,,43,7,,100
23,2019,40,,25,5,,70
24,2019,16,4,30,,,50
25,2019,,,93,7,,100
