schoolindex,schoolname,law,human,nature,total
1,강원대,13,23,6,42
2,건국대,11,28,3,42
3,경북대,29,92,9,130
4,경희대,19,43,2,64
5,고려대,3,111,13,127
6,동아대,33,35,16,84
7,부산대,17,99,10,126
8,서강대,7,88,5,100
9,서울대학교,4,140,9,153
10,서울시립대학교,4,42,7,53
11,성균관대학교,13,96,14,123
12,아주대학교,16,27,10,53
13,연세대학교,1,122,9,132
14,영남대학교,47,19,5,71
15,원광대학교,,,,0
16,이화여대학교,5,96,3,104
17,인하대학교,16,31,4,51
18,전남대학교,49,68,11,128
19,전북대학교,32,44,5,81
20,제주대학교,23,18,2,43
21,중앙대학교,,54,,54
22,충남대학교,,,,
23,충북대학교,,,,
24,한국외대학교,6,44,1,51
25,한양대학교,9,96,5,110
