schoolindex,schoolname,law,human,nature,total,
1,강원대,25,18,2,45,0
2,건국대,27,47,7,81,0
3,경북대,54,67,7,128,0
4,경희대,36,25,5,66,0
5,고려대,1,114,7,122,0
6,동아대,27,47,7,81,0
7,부산대,40,79,12,131,0
8,서강대,11,24,7,42,0
9,서울대학교,4,139,8,151,0
10,서울시립대학교,14,35,5,54,0
11,성균관대학교,28,90,8,126,0
12,아주대학교,24,26,5,55,0
13,연세대학교,14,4,114,132,0
14,영남대학교,47,18,6,71,0
15,원광대학교,31,22,10,63,0
16,이화여대학교,13,83,2,98,0
17,인하대학교,17,36,2,55,0
18,전남대학교,53,67,7,127,0
19,전북대학교,34,41,5,80,0
20,제주대학교,16,20,4,40,0
21,중앙대학교,8,45,2,55,0
22,충남대학교,44,55,9,108,0
23,충북대학교,20,50,4,74,0
24,한국외대학교,13,40,2,55,0
25,한양대학교,11,95,4,110,0
,,,,,,
