schoolindex,m09,w09,m10,w10,m11,w11,m12,w12,m13,w13,m14,w14,m15,w15,m16,w16,m17,w17
1,0,0,0,0,0,0,0,0,0,0,25,15,23,17,28,15,30,15
2,0,0,0,0,0,0,0,0,0,0,28,11,22,19,19,24,23,17
3,0,0,0,0,0,0,0,0,0,0,83,40,89,37,90,42,72,56
4,0,0,0,0,0,0,0,0,0,0,33,30,41,21,34,32,37,29
5,0,0,0,0,0,0,0,0,0,0,46,81,72,54,73,54,67,55
6,0,0,0,0,0,0,0,0,0,0,67,14,58,25,57,23,45,36
7,0,0,0,0,0,0,0,0,0,0,75,47,70,57,77,48,91,40
8,0,0,0,0,0,0,0,0,0,0,25,17,22,19,29,15,31,11
9,0,0,0,0,0,0,0,0,0,0,86,67,86,67,85,69,83,68
10,0,0,0,0,0,0,0,0,0,0,36,14,40,15,38,15,37,17
11,0,0,0,0,0,0,0,0,0,0,71,54,76,50,85,43,74,52
12,0,0,0,0,0,0,0,0,0,0,33,18,30,21,33,22,36,19
13,0,0,0,0,0,0,0,0,0,0,63,62,71,56,70,59,81,51
14,0,0,0,0,0,0,0,0,0,0,56,15,52,19,57,13,53,18
15,0,0,0,0,0,0,0,0,0,0,38,24,45,19,33,29,43,20
16,0,0,0,0,0,0,0,0,0,0,0,103,0,100,0,103,0,105
17,0,0,0,0,0,0,0,0,0,0,32,21,30,20,30,23,30,25
18,0,0,0,0,0,0,0,0,0,0,73,55,69,56,66,65,65,62
19,0,0,0,0,0,0,0,0,0,0,51,33,51,32,49,33,45,35
20,0,0,0,0,0,0,0,0,0,0,25,15,25,19,21,23,16,24
21,0,0,0,0,0,0,0,0,0,0,24,30,22,30,29,24,29,26
22,0,0,0,0,0,0,0,0,0,0,65,41,69,35,63,43,58,50
23,0,0,0,0,0,0,0,0,0,0,36,39,35,39,34,38,27,47
24,0,0,0,0,0,0,0,0,0,0,36,14,39,13,39,13,38,18
25,0,0,0,0,0,0,0,0,0,0,59,46,35,39,53,57,59,51
